,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,last_poll,Contested,Last_Party,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Age,District_Name,MyNeta_education,TCPD_Prof_Main,predicted
22416,BOBBILI CHIRANJEEVULU,M,TDP,62458,SC,130278,173905,parvathipuram,SC,COASTAL ANDHRA,8,74.91,47.94,no,6129,4.7,2.38,True,2.0,TDP,PARVATHIPURAM,True,True,1.0,False,False,True,56.0,vizianagaram,Others,Business,1
22425,RAJANNA DORA PEEDIKA,M,YSRCP,63755,ST,134857,175174,salur,ST,COASTAL ANDHRA,6,76.98,47.28,no,4997,3.71,2.44,True,1.0,,,,,1.0,False,False,False,49.0,vizianagaram,Graduate Professional,Politics,1
22432,VENKATA SUJAY KRISHNA RANGA RAO RAVU,M,YSRCP,83587,GEN,168281,211986,bobbili,GEN,COASTAL ANDHRA,6,79.38,49.67,no,6958,4.13,2.17,True,3.0,INC,BOBBILI,True,False,3.0,True,True,True,43.0,vizianagaram,12th Pass,Agriculture,2
22439,KIMIDI MRUNALINI,F,TDP,63787,GEN,154055,189401,cheepurupalle,GEN,COASTAL ANDHRA,11,81.34,41.41,no,20842,13.53,3.12,False,1.0,,,,,1.0,False,False,False,55.0,vizianagaram,12th Pass,Politics,0
22452,APPALANAIDU KONDAPALLI,M,TDP,65117,GEN,159713,187066,gajapathinagaram,GEN,COASTAL ANDHRA,8,85.38,40.77,no,19423,12.16,3.03,True,1.0,,,,,1.0,False,False,False,47.0,vizianagaram,Graduate,Agriculture,0
22461,NARAYANA SWAMY NAIDU PATHIVADA,M,TDP,71267,GEN,166194,189233,nellimarla,GEN,COASTAL ANDHRA,10,87.83,42.88,no,6973,4.2,2.86,True,1.0,,,,,1.0,False,False,False,75.0,vizianagaram,Graduate Professional,Small Business or Self-employed,0
22472,GEETHA MEESALA,F,TDP,77320,GEN,155206,216301,vizianagaram,GEN,COASTAL ANDHRA,11,71.75,49.82,no,15404,9.92,2.44,True,2.0,PRAP,VIZIANAGARAM,True,False,1.0,True,False,True,41.0,vizianagaram,Graduate,Agriculture,1
22484,KOLLA LALITHA KUMARI,F,TDP,82177,GEN,172144,202518,srungavarapukota,GEN,COASTAL ANDHRA,9,85.0,47.74,no,28572,16.6,2.78,True,2.0,TDP,SRUNGAVARAPUKOTA,True,True,2.0,False,True,True,44.0,vizianagaram,Graduate Professional,Business,1
22494,GANTA SRINIVASA RAO,M,TDP,118020,GEN,211886,281799,bhimili,GEN,COASTAL ANDHRA,8,75.19,55.7,no,37226,17.57,2.17,True,1.0,,,,,1.0,False,False,False,54.0,vishakapatnam,Graduate,Agriculture,1
22503,RAMAKRISHNA BABU VELAGAPUDI,M,TDP,100624,GEN,166453,256776,visakhapatnam east,GEN,COASTAL ANDHRA,21,64.82,60.45,no,47883,28.77,2.13,True,2.0,TDP,VISAKHAPATNAM EAST,True,True,2.0,False,True,True,54.0,vishakapatnam,Graduate Professional,Liberal Profession or Professional,1
22525,VASUPALLI GANESH KUMAR,M,TDP,66686,GEN,129613,197541,visakhapatnam south,GEN,COASTAL ANDHRA,15,65.61,51.45,no,18316,14.13,2.5,True,1.0,,,,,1.0,False,False,False,50.0,vishakapatnam,Graduate,Business,1
22541,PENMETSA VISHNU KUMAR RAJU,M,BJP,82079,GEN,159862,267215,visakhapatnam north,GEN,COASTAL ANDHRA,13,59.83,51.34,no,18240,11.41,2.38,True,1.0,,,,,1.0,False,False,False,52.0,vishakapatnam,Post Graduate,Business,0
22555,P.G.V.R. NAIDU (GANA BABU),M,TDP,76791,GEN,135523,226938,visakhapatnam west,GEN,COASTAL ANDHRA,12,59.72,56.66,no,30857,22.77,2.33,True,1.0,,,,,1.0,False,False,False,45.0,vishakapatnam,10th Pass,Business,1
22568,PALLA SRINIVAS RAO,M,TDP,97109,GEN,188401,290224,gajuwaka,GEN,COASTAL ANDHRA,17,64.92,51.54,no,21712,11.52,2.33,True,1.0,,,,,1.0,False,False,False,44.0,vishakapatnam,Post Graduate,Business,0
22586,KALIDINDI SURYA NAGA SANYASI RAJU (BABU),M,TDP,80560,GEN,166583,196500,chodavaram,GEN,COASTAL ANDHRA,8,84.78,48.36,no,909,0.55,2.17,True,1.0,,,,,1.0,False,False,False,47.0,vishakapatnam,Graduate Professional,Business,1
22595,BUDI. MUTYALA NAIDU,M,YSRCP,72299,GEN,147160,173857,madugula,GEN,COASTAL ANDHRA,7,84.64,49.13,no,4761,3.24,2.22,True,2.0,IND,MADUGULA,True,False,1.0,False,False,False,52.0,vishakapatnam,10th Pass,Other or Unspecified,1
22603,KIDARI SARVESWARA RAO,M,YSRCP,63700,ST,150109,214100,araku valley,ST,COASTAL ANDHRA,11,70.11,42.44,no,34053,22.69,4.0,True,1.0,,,,,1.0,False,False,False,41.0,vishakapatnam,Doctorate,Agriculture,0
22615,ESWARI GIDDI,F,YSRCP,52384,ST,127849,213796,paderu,ST,COASTAL ANDHRA,10,59.8,40.97,no,26141,20.45,3.85,True,1.0,,,,,1.0,False,False,False,44.0,vishakapatnam,Post Graduate,Politics,0
22626,PEELA GOVINDA SATYANARAYANA,M,TDP,79911,GEN,149837,190355,anakapalle,GEN,COASTAL ANDHRA,14,78.71,53.33,no,22341,14.91,2.33,True,1.0,,,,,1.0,False,False,False,48.0,vishakapatnam,Post Graduate,Business,1
22641,BANDARU SATYANARAYANA MURTHY,M,TDP,94531,GEN,182248,233105,pendurthi,GEN,COASTAL ANDHRA,10,78.18,51.87,no,18648,10.23,2.27,True,5.0,TDP,PENDURTHI,True,True,3.0,False,False,True,54.0,vishakapatnam,Graduate,Business,2
22652,PANCHAKARLA RAMESH BABU,M,TDP,80563,GEN,159218,185854,yelamanchili,GEN,COASTAL ANDHRA,11,85.67,50.6,no,8375,5.26,2.13,True,2.0,PRAP,PENDURTHI,False,False,2.0,True,True,True,49.0,vishakapatnam,Post Graduate,Agriculture,1
22664,ANITHA VANGALAPUDI,F,TDP,86355,SC,179843,223158,payakaraopet,SC,COASTAL ANDHRA,10,80.59,48.02,no,2828,1.57,2.22,True,1.0,,,,,1.0,False,False,False,33.0,vishakapatnam,Graduate,Agriculture,1
22675,AYYANNAPATRUDU CHINTHAKAYALA,M,TDP,79726,GEN,163181,198645,narsipatnam,GEN,COASTAL ANDHRA,11,82.15,48.86,no,2338,1.43,2.17,True,7.0,TDP,NARSIPATNAM,True,True,6.0,False,False,True,57.0,vishakapatnam,Graduate Professional,Liberal Profession or Professional,2
22687,DADISETTI RAJA,M,YSRCP,84755,GEN,159970,197694,tuni,GEN,COASTAL ANDHRA,9,80.92,52.98,no,18573,11.61,2.22,True,1.0,,,,,1.0,False,False,False,38.0,east godavari,Graduate Professional,Liberal Profession or Professional,1
22697,VARUPULA SUBBARAO,M,YSRCP,63693,GEN,148075,184820,prathipadu,GEN,COASTAL ANDHRA,11,80.12,43.01,no,3413,2.3,2.78,True,6.0,INC,PRATHIPADU,True,False,2.0,True,False,True,70.0,east godavari,Graduate,Liberal Profession or Professional,2
22709,S.V.S.N. VARMA,M,IND,97511,GEN,169330,213152,pithapuram,GEN,COASTAL ANDHRA,15,79.44,57.59,no,47080,27.8,2.33,True,2.0,TDP,PITHAPURAM,True,False,1.0,False,False,True,50.0,east godavari,12th Pass,Agriculture,1
22725,ANANTHA LAKSHMI PILLI,F,TDP,61144,GEN,165338,221700,kakinada rural,GEN,COASTAL ANDHRA,17,74.58,36.98,no,9048,5.47,3.23,True,1.0,,,,,1.0,False,False,False,55.0,east godavari,Graduate Professional,Liberal Profession or Professional,0
22743,NIMMAKAYALA CHINA RAJAPPA,M,TDP,75914,GEN,150357,194939,peddapuram,GEN,COASTAL ANDHRA,13,77.13,50.49,no,10663,7.09,2.27,True,1.0,,,,,1.0,False,False,False,61.0,east godavari,10th Pass,Business,1
22757,NALLAMILLI RAMAKRISHNA REDDY,M,TDP,83398,GEN,174274,203289,anaparthy,GEN,COASTAL ANDHRA,16,85.73,47.85,no,1373,0.79,2.22,True,1.0,,,,,1.0,False,False,False,48.0,east godavari,10th Pass,Agriculture,1
22774,VANAMADI VENKATESWARARAO (KONDABABU),M,TDP,76467,GEN,140523,207111,kakinada city,GEN,COASTAL ANDHRA,16,67.85,54.42,no,24000,17.08,2.27,True,4.0,TDP,KAKINADA CITY,True,True,2.0,False,False,True,49.0,east godavari,12th Pass,Agriculture,2
22791,THOTA TRIMURTHULU,M,TDP,85254,GEN,160133,181646,ramachandrapuram,GEN,COASTAL ANDHRA,17,88.16,53.24,no,16922,10.57,2.17,True,5.0,PRAP,RAMACHANDRAPURAM,True,False,3.0,True,False,True,55.0,east godavari,Graduate,Business,2
22809,DATLA SUBBA RAJU (BUCHI BABU),M,TDP,98274,GEN,173378,208297,mummidivaram,GEN,COASTAL ANDHRA,13,83.24,56.68,no,29538,17.04,2.08,True,1.0,,,,,1.0,False,False,False,42.0,east godavari,12th Pass,Agriculture,1
